prefix	content	marker	group	section	subsection	subsubsection	title	section_tag	image_url	context_mask	chunk_summary	group_summary	section_summary
	USING THIS MANUAL	-1	52	1	0	0		2		1	USING THIS MANUAL		
	When using this manual, read and understand the entire maintenance action before performing the task. Also, read and understand all warnings, cautions, and notes as well as general safety precautions that apply to the task performed. The warning summary will inform personnel of hazards associated with the equipment worked on. However, the summary is not all-inclusive and personnel should be aware at all times of hazardous conditions that may arise.	-1	53	1	0	0		2		0	The maintenance action is a summary of all hazards associated with equipment. Personnel should be aware at any time of hazardous conditions that may arise, says dr. Scott mcgill jr. And d	The maintenance action is a summary of all hazards associated with equipment. Personnel should be aware at any time of hazardous conditions that may arise, says dr. Scott mcgill jr. And d	
	ACCESSING INFORMATION	-1	54	1	0	0		2		1	ACCESSING INFORMATION	This manual is organized to help you quickly find the information you need.	
	This manual is organized to help you quickly find the information you need.	-1	54	1	0	0		2		0	This manual is organized to help you quickly find the information you need.		
	Table of Contents. The table of contents lists, in the order of presentation, all chapters, WPs, and gives the WP sequence numbers.	-1	55	1	0	0		2		0	Table of Contents. The table of contents lists, in the order of presentation, all chapters, WPs, and gives the WP sequence numbers.	Table of Contents. The table of contents lists, in the order of presentation, all chapters, WPs, and gives the WP sequence numbers.	
	LISTS	-1	56	1	0	0		2		1	LISTS		
	Metric/US Standard Measurement Chart. Measurements in this manual are given in both metric and U.S. standard units. The table inside the back cover compares metric measurements to their equivalent U.S. standard units. Also provided are conversion factors to convert metric units to U.S. standard units.	-1	57	1	0	0		2		0	Metric/US Standard Measurement Chart. Measurements in this manual are given in both metric and U.S. standard units. The table inside the back cover compares metric measurements to their equivalent U.S. standard units. Also provided are conversion factors to convert metric units to U.S. standard units.	Metric/US Standard Measurement Chart. Measurements in this manual are given in both metric and U.S. standard units. The table inside the back cover compares metric measurements to their equivalent U.S. standard units. Also provided are conversion factors to convert metric units to U.S. standard units.	
	List of Abbreviations. An alphabetical list of abbreviations used in the manual is located in (WP 0001).	-1	58	1	0	0		2		0	List of Abbreviations. An alphabetical list of abbreviations used in the manual is located in (WP 0001).	List of Abbreviations. An alphabetical list of abbreviations used in the manual is located in (WP 0001).	
	WORK PACKAGES	-1	58	1	0	0		2		1	WORK PACKAGES		
	This TM has been organized using a concept called WPs. Each chapter contains a series of WPs rather than sections and paragraphs. Ideally, each WP is designed to stand alone as a complete module of information; however sometimes a WP will reference out to another WP in order to avoid copying the same information many times in the TM.	-1	59	1	0	0		2		0	Each chapter contains a series of WPs rather than sections and paragraph. Sometimes referencing out to another Wp in order avoid copying the same information many times in the TM. This tm has been organized using '	Each chapter contains a series of WPs rather than sections and paragraph. Sometimes referencing out to another Wp in order avoid copying the same information many times in the TM. This tm has been organized using '	
•	"Each WP is numbered sequentially throughout the TM using a four-digit number. Go to the Table of Contents and you will see that the first WP is numbered ""0001"". The second WP is numbered ""0002""."	1	60	1	0	0		2		0	"Each WP is numbered sequentially throughout the TM using a four-digit number. Go to the Table of Contents and you will see that the first WP is numbered ""0001"". The second WP is numbered ""0002""."	Each WP is numbered sequentially throughout the paper TM using a four-digit number. Page numbers are located at top of each pages and also in bottom of each page. This was done so you can remove one single Wp from your paper if needed for'special tasks' another may refer to another, but it is not always possible to do so. Click here to see how to add more pages to your paper tm. Back to	
•	"A decimal point system is used whenever it might be necessary to add a new WP in between already prepared WPs. For example if a new WP needed to be inserted between WP 0014 and WP 0015, the new WP would be numbered ""0014.1"". TM 5-1940-328-10 v HOW TO USE THIS MANUAL - Continued"	1	60	1	0	0		2		0	"A decimal point system is used whenever it might be necessary to add new WP in between already prepared WPSs. For example, if '0014.1' needed an entry between Wp 0014 and ""0015"		
•	The WP number is located at the top of each WP page (similar to the paragraph numbers you have seen in other TMs). It is also located at the bottom of each WP page as part of the WP page number. For example, the page number for the first page of the second WP of this TM is 0002-1.	1	60	1	0	0		2		0	The page number is located at top of each WP page. It is also located as part in the bottom of each page - 0002-1 if you want to see more. For example, the page number for first page of		
•	Each WP starts with the number 1 as shown above, and each WP starts on a right hand page. This was done so you can remove a single WP from your paper TM if needed for a particular task.	1	60	1	0	0		2		0	Each WP starts with the number 1 as shown above, and each WP starts on a right hand page. This was done so you can remove a single WP from your paper TM if needed for a particular task.		
•	"While using the TM, one WP may refer you to another WP (e.g. WP 0008 refers to ""RIB Preparation for Use (WP 0007)""). Turn to the referenced WP, complete the requested task (you may need to flip through the WP to find the task), then return to the original WP and continue with the task."	1	60	1	0	0		2		0	"TM refers to one WP, another may refer you to another WP. Turn to the referenced Wp, complete your requested task - then return to original WP and continue with it! ""you may need"		
	WARNINGS, CAUTIONS, AND NOTES	-1	61	1	0	0		2		1	WARNINGS, CAUTIONS, AND NOTES		
	Warnings are provided where injury may occur to personnel on or near the system. A warning is used to alert the user to hazardous operating and maintenance procedures, practices, conditions, statements, etc., that may result in injury to or death of personnel if not strictly observed. Warnings are preceded by the word WARNING.	-1	62	1	0	0		2		0	Warnings are used to alert the user of hazardous operating and maintenance procedures. They may result in injury or death of personnel if not strictly observed by users - but not strictly monitored a system. Warnings are preceded with	Warnings are preceded by the word NOTE. They may result in damage to equipment or degrade mission effectiveness if not strictly observed - but no personnel injury should occur Note provides helpful information to operate or maintain the equipment, but there is no danger of equipment damage or personnel injury unless specifically noted a system 'is not strictly monitored' Warnings are precedeede with A Caution is used to alert the user about hazardous operating and maintenance procedures, practices, conditions,	
	A Caution is used to alert the user to hazardous operating or maintenance procedures, practices, conditions, statements, etc., that may result in damage to or destruction of equipment or degrade mission effectiveness if not strictly observed. Cautions are provided where equipment may be damaged but no personnel injury should result. Cautions are preceded by the word CAUTION.	-1	62	1	0	0		2		0	A Caution is used to alert the user about hazardous operating or maintenance procedures, practices, conditions, statements, etc. That may result in damage to equipment or degrade mission effectiveness if not strictly observed - no personnel injury should occur		
	Notes provide helpful information to operate or maintain the equipment, but there is no danger of equipment damage or personnel injury. Notes are preceded by the word NOTE.	-1	62	1	0	0		2		0	Notes provide helpful information to operate or maintain the equipment, but there is no danger of equipment damage or personnel injury. Notes are preceded by the word NOTE.		
	LOCATING MAJOR COMPONENTS	-1	63	1	0	0		2		1	LOCATING MAJOR COMPONENTS		
	Refer to the Table of Contents located in the front of this manual. Find Chapter 1, General Information, Equipment Description, and Theory of Operation. Under the chapter title you will find the WP titled Equipment Description and Data. Turn to the WP indicated. This WP will give a brief description of the major components, and show an illustration of what the component looks like and its location.	-1	64	1	0	0		2		0	This manual gives a brief description of the major components. It also shows an illustration of what the component looks like and its location - see the table of contents if you need more information... Or just turn to the WP	This manual gives a brief description of the major components. It also shows an illustration of what the component looks like and its location - see the table of contents if you need more information... Or just turn to the WP	
	INITIAL SETUP	-1	65	1	0	0		2		1	INITIAL SETUP		
	Each task begins with an initial setup. It tells you what you need to do the task: tools, materials, parts, and other publications. It tells you what must be done to the equipment before you begin the task and provides general safety instructions. There are six basic headings listed under INITIAL SETUP:	-1	66	1	0	0		2		0	Initial setup tells you what to do the task: tools, materials, parts. It also provides general safety instructions - including how to use equipment if needed a specific item is needed. There are six basic heading for each	Manual provides general safety instructions. Lists all tools (standard or special) required to perform the task, including equipment if needed a specific item is needed - and includes one Military occupational specialty designation that will be used to complete tasks in this manual as well'specialty' items are listed under the headings: Tools and Special Tools. There will only be one Military Occupational Specialist (MOS), which will be used to complete tasks in this manual. Manual	
	Tools and Special Tools. Lists all tools (standard or special) required to perform the task. Tools are identified with an item number and WP number from the Tool Identification List, located in Chapter 9, Supporting Information.	-1	66	1	0	0		2		0	Tools and Special Tools. Lists all tools (standard or special) required to perform the task. Tools are identified with an item number and WP number from the Tool Identification List, located in Chapter 9, Supporting Information.		
	Materials/Parts. Lists all parts or materials necessary to perform the task. Expendable and durables are identified with an item number from the applicable WP located in Chapter 9, Supporting Information.	-1	66	1	0	0		2		0	Materials/Parts. Lists all parts or materials necessary to perform the task. Expendable and durables are identified with an item number from the applicable WP located in Chapter 9, Supporting Information.		
